"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","target_H_min_sp_e"
0.25,0.125,10,0,46.375,8.0180285875,0.52924855,4.24108161074138,1.41875,3.875,2.1475,70.25,5,10.375,107.46975,0.42,-0.522901260000026
0.25,0,10,0,46.25,8.418961625,0.40187355,4.45328848249282,1.41875,3.75,2.13625,69.75,5,10.25,107.168875,0.51,-0.522788960000014
0.429,0,10,4.004,55.581,8.482244975,1.1677847957,4.78912940752989,1.4143,4.143,2.25863,69.572,5.286,10.429,132.523411334,0.27,-0.518520500000022
1.5,0,7,7,60.5,8.16376,1.30516456,4.74030520060284,1.325,7,2.2,64,5.5,8.5,146.6435,0,-0.517442139999957
0.125,0,9.875,1.75,50,8.414587875,0.757511675,4.57424665844134,1.39375,4.25,2.21,68.875,5.125,10,117.503,0.0799999999999996,-0.51343281000004
0.333,0,10,4.662,56.989,8.632781095,1.14371539365,4.84922555932937,1.38335,4.333,2.31322,69.333,5.333,10.333,136.572007477,0.34,-0.512343379999976
0.25,0,10,0,46.25,8.14668775,0.74772415,4.44509097185834,1.45,3.75,2.1325,69.5,5,10.25,106.78205,0.27,-0.511893179999987
0.222,0.333,10,1.554,50.107,8.220142147,0.60434572323,4.40900022892228,1.4222,4.111,2.18002,70.998,5.111,10.555,117.8042044,0.18,-0.510785529999993
1.125,0,7.875,1.75,49,7.647415,1.19553764,4.41680849930654,1.35,6,2.27,65.125,5.125,9,114.0694375,0.0799999999999996,-0.506688139999937
0.375,0,10,0,46.375,8.051612125,0.840515625,4.44411894918458,1.475,3.625,2.09875,69.75,5,10.375,106.963075,0.27,-0.505769579999992
1,0,8.25,3.5,53.25,7.8338825,1.38844525,4.58657124817058,1.35,6,2.28,65.75,5.25,9.25,125.950125,0,-0.505681900000013
0.333,0,10,3.108,53.437,8.449706575,1.0322561589,4.71036020829005,1.4111,4.111,2.24551,69.444,5.222,10.333,126.682088518,0.27,-0.50563446000001
1.75,0,7.5,3.5,39.75,8.150465,1.0279678525,4.56457194445547,1.35,5.25,1.98,65,4.5,9.25,92.97089625,0.4,-0.505361830000027
1,0.25,9.5,7,58.25,8.06345025,1.2783793375,4.56671929087122,1.35,4.75,2.1425,71.5,5.25,10.75,141.57775,0.0799999999999996,-0.504130459999999
0.455,0.182,10,3.822,55.373,8.0121156556,0.67700986573,4.27750659470571,1.48645,3.909,2.12538,70.729,5.273,10.637,132.489058379,0.34,-0.502442709999997
0.125,0,10,0,46.125,8.241763375,0.654932675,4.446063207134,1.425,3.875,2.16625,69.25,5,10.125,106.601025,0.27,-0.500047810000012
1,0,8.333,4.662,55.989,7.95837669,1.469968929,4.68648995272931,1.35,6,2.28,65.999,5.333,9.333,133.6009405,0,-0.497912240000005
0.25,0,10,1.75,50.25,8.599422125,0.42687355,4.53693386155951,1.4125,4,2.175,69.625,5.125,10.25,118.19125,0.2,-0.495706350000035
1.25,0,8.5,10.5,65.25,8.689375,1.7593926175,5.21404676947465,1.35,5.75,2.18,67,5.5,9.75,161.04629875,0.4,-0.494733329999974
0.334,0,10,0,43.328,8.513417786,0.3647236196,4.48789001045935,1.39165,3.666,2.10815,70.169,4.833,10.334,99.571163,0.55,-0.493782640000006
0.266,0,10,0,43.872,8.477467614,0.4049164204,4.47954204082689,1.39335,3.734,2.12685,69.931,4.867,10.266,100.965537,0.55,-0.492913270000031
0.444,0,10,3.108,53.548,8.607058621,0.8075396559,4.71715703746018,1.40555,4,2.21887,69.888,5.222,10.444,127.186339318,0.34,-0.491966649999995
1,0,8.5,7,61.5,8.208865,1.6339985,4.89417560498505,1.35,6,2.28,66.5,5.5,9.5,148.99475,0,-0.491678180000065
1,0.5,9.5,0,42.5,7.71650925,1.01322185,4.36147406736694,1.3875,4.5,2.085,72.25,4.75,11,97.895375,0.0600000000000001,-0.490469519999976
0.666,0,10,4.662,57.322,9.036360445,0.2017881804,4.69057046491381,1.4333,4,2.1334,70.665,5.333,10.666,137.77861,0.2,-0.486980799999998
0.25,0.25,10,1.75,50.5,8.2218191125,0.5364637,4.37332422433305,1.45,4,2.21625,70.625,5.125,10.5,119.0175,0.13,-0.486218789999953
1.125,0.125,8.25,0,43.25,7.27645025,1.03767626875,4.13439904091646,1.34375,5.625,2.22125,67,4.875,9.5,98.7576875,0.47,-0.485921409999946
1,0,8,0,45,7.4589,1.142892,4.29830016583748,1.35,6,2.28,65,5,9,102.9055,0,-0.483651750000035
0.334,0.167,10,2.338,51.845,7.9646708661,0.52171250233,4.19907099258385,1.4835,3.833,2.10314,70.503,5.167,10.501,122.7798711,0.58,-0.482676400000003
