"bulk_id","slab_millers","slab_shift","slab_comp","top","*C_ml_Eads","*C_ml_dft_Eads","*C_min_ml_Eads","C_min_sp_e","*CO_ml_Eads","*CO_ml_dft_Eads","*CO_min_ml_Eads","CO_min_sp_e","*CHO_ml_Eads","*CHO_ml_dft_Eads","*CHO_min_ml_Eads","CHO_min_sp_e","CO*COH_ml_Eads","CO*COH_ml_dft_Eads","CO*COH_min_ml_Eads","COCOH_min_sp_e","*H_ml_Eads","*H_ml_dft_Eads","*H_min_ml_Eads","H_min_sp_e","OH_min_sp_e","*OH_ml_Eads","*OH_ml_dft_Eads","*OH_min_ml_Eads","n_bulk_elements","slab_identifier","cleavage_energy","facet_fraction_on_wulff_not_normalized"
"dcgat-agm001129663","(1, 0, 2)",0.166666666666667,"Ag-0.25-Cu-0.25-Pd-0.5","True","[-0.29269725 -0.27713564 -0.27705768 -0.27630278 -0.27618349]","[-0.25130671 -0.25928743 -0.25218283 -0.25306899 -0.25442625]",-0.292697250843048,-0.259287429999972,"[-1.45680547 -1.45541    -1.45507336 -1.45402384 -1.4538579 ]","[-1.4083523  -1.4080701  -1.40892957 -1.40476506 -1.40872021]",-1.45680546760559,-1.40892957,"[-0.67550856 -0.67470825 -0.62560946 -0.62520742 -0.62442327]","[-0.66701333 -0.66716242 -0.57692847 -0.58192872 -0.58150307]",-0.675508558750153,-0.667162419999954,"[-0.60247898 -0.60112172 -0.59632432 -0.59471542 -0.5946523 ]","[-0.57548529 -0.57741517 -0.58091561 -0.53559694 -0.53939449]",-0.602478981018066,-0.580915609999977,"[-0.39490244 -0.39079198 -0.38935089 -0.38925985 -0.38898155]","[-0.39445932 -0.38970465 -0.39553716 -0.39001115 -0.38938405]",-0.394902437925339,-0.395537160000004,0.564707820000024,"[0.54161805 0.5416984  0.54254025 0.54401141 0.54418689]","[0.56493141 0.56562519 0.56470782 0.56484654 0.56576289]",0.541618049144745,3,"25335_1,0,2_0.167_True",0.93438484648595,0.814001227944332
"dcgat-agm002379369","(0, 0, 1)",0.25,"Cd-0.111-Pd-0.889","True","[-1.74646783 -1.74513578 -1.74448395 -1.74419546 -1.74309444]","[-1.69462669 -1.69509742 -1.69546894 -1.69449182 -1.69442904]",-1.74646782875061,-1.69546894000001,"[-1.69386578 -1.69064832 -1.68963003 -1.68799329 -1.68654633]","[-1.70310257 -1.70380557 -1.70344712 -1.70264193 -1.70718806]",-1.69386577606201,-1.70718805999999,"[-1.19877052 -1.11791253 -1.10854459 -1.1042192  -1.10200536]","[-1.1555071  -1.05297217 -1.06339172 -1.05274759 -1.06248148]",-1.19877052307129,-1.15550709999999,"[-1.82053566 -1.8179431  -1.81724906 -1.81276274 -1.81154442]","[-1.81669813 -1.81808348 -1.81699355 -1.81682527 -1.81474497]",-1.82053565979004,-1.81808348000001,"[-0.38921633 -0.3889313  -0.38795501 -0.38728389 -0.38718414]","[-0.39271979 -0.39405227 -0.39393456 -0.39500701 -0.39404835]",-0.389216333627701,-0.395007010000001,0.473175950000012,"[0.44642001 0.44960362 0.45003897 0.45012802 0.45039421]","[0.47317595 0.48419267 0.47633103 0.47780261 0.47353708]",0.446420013904572,2,"16598_0,0,1_0.25_True",1.22300425108679,0.0673549890044841
"dcgat-agm003595594","(0, 0, 1)",0.25,"Au-0.444-Cd-0.111-Pd-0.444","True","[-0.86240816 -0.84941196 -0.84513241 -0.84381533 -0.84299463]","[-1.07899708 -1.08271753 -1.08307467 -1.07935931 -1.08332148]",-0.86240816116333,-1.08332148,"[-1.6643188  -1.66079187 -1.66045201 -1.6586411  -1.65831769]","[-1.6222115  -1.62598629 -1.62335383 -1.62425996 -1.6197968 ]",-1.66431879997253,-1.62598629000001,"[-1.06735027 -1.05692625 -1.05557382 -1.0466218  -1.03725314]","[-0.99015486 -0.99807943 -0.99512099 -0.99292005 -0.99777902]",-1.06735026836395,-0.99807942999999,"[-1.66575432 -1.60626101 -1.60567629 -1.60351777 -1.60214162]","[-1.68114345 -1.61264769 -1.61109065 -1.60988301 -1.61294705]",-1.66575431823731,-1.68114345000001,"[-0.38712165 -0.38497487 -0.38469663 -0.38391969 -0.38344806]","[-0.39245402 -0.39410309 -0.39331787 -0.39321316 -0.39305583]",-0.387121647596359,-0.394103090000002,0.523177849999996,"[0.51163417 0.51383179 0.51496035 0.51624423 0.51697403]","[0.52374684 0.52625968 0.52317785 0.52575304 0.5309698 ]",0.511634171009064,3,"27991_0,0,1_0.25_True",0.980335811115334,0.0496244889970604
"dcgat-agm003300580","(0, 0, 1)",0.25,"Hg-0.111-Pd-0.889","True","[-1.76797986 -1.76481628 -1.76442504 -1.76346159 -1.76190019]","[-1.73975858 -1.73550644 -1.73969249 -1.73945049 -1.73959904]",-1.76797986030579,-1.73975858,"[-1.68585229 -1.68316996 -1.682477   -1.68235302 -1.68188238]","[-1.71298511 -1.72020371 -1.72110696 -1.7192772  -1.71852034]",-1.68585228919983,-1.72110695999999,"[-1.10539949 -1.10201192 -1.10059381 -1.077528   -1.07466686]","[-1.08767361 -1.08437235 -1.08424019 -1.02385187 -1.03132746]",-1.10539948940277,-1.08767361,"[-1.8374064  -1.83189631 -1.82926226 -1.82771492 -1.82726836]","[-1.80226514 -1.79290563 -1.79473362 -1.79876984 -1.80243381]",-1.83740639686584,-1.80243381,"[-0.37219474 -0.37172371 -0.37036034 -0.37021708 -0.37002945]","[-0.38372045 -0.39265314 -0.39201896 -0.39301484 -0.3901346 ]",-0.372194737195969,-0.393014839999978,0.45053716000001,"[0.44734365 0.44841462 0.44917375 0.44937485 0.44994611]","[0.45551958 0.45053716 0.45220985 0.45218438 0.45143409]",0.447343647480011,2,"17924_0,0,1_0.25_True",1.17721632718011,0.062926673317115
"dcgat-agm003292054","(3, 0, 1)",0.125,"Cu-0.444-Pd-0.556","True","[-0.31662786 -0.29953921 -0.29368019 -0.29102179 -0.28783533]","[-0.34795817 -0.34892548 -0.34611648 -0.34713989 -0.34819081]",-0.316627860069275,-0.34892548000002,"[-1.56774831 -1.56173563 -1.56142116 -1.55932462 -1.55717897]","[-1.57069982 -1.57231983 -1.56984865 -1.56740941 -1.56999015]",-1.56774830818176,-1.57231983,"[-0.77682024 -0.72360855 -0.72030073 -0.71769702 -0.69883877]","[-0.66480833 -0.65249139 -0.63957975 -0.64042144 -0.66023342]",-0.776820242404938,-0.664808329999971,"[-1.00386131 -0.98875082 -0.89217508 -0.88133144 -0.88007909]","[-0.94888236 -0.95788023 -0.92155786 -0.91770024 -0.91650006]",-1.00386130809784,-0.957880230000001,"[-0.41348708 -0.41221353 -0.41184351 -0.41042268 -0.4093639 ]","[-0.38615705 -0.3864338  -0.38625132 -0.38639242 -0.38154084]",-0.413487076759338,-0.386433799999992,0.499957660000007,"[0.48776263 0.48846918 0.48963207 0.49046916 0.49110669]","[0.50152691 0.50100808 0.50125816 0.49995766 0.50014091]",0.487762629985809,2,"19763_3,0,1_0.125_True",1.07947972975566,0.95333445269752
"dcgat-agm003642635","(1, 1, 0)",0.25,"Ag-0.1-Cu-0.5-Pd-0.4","True","[-0.47169867 -0.47043389 -0.46717253 -0.4667418  -0.46659219]","[-0.3516773  -0.35152572 -0.35192638 -0.35094725 -0.35116564]",-0.471698671579361,-0.351926380000009,"[-1.35775876 -1.35706878 -1.35649085 -1.35492778 -1.35482311]","[-1.3952785  -1.39595861 -1.3938014  -1.39590023 -1.39543784]",-1.35775876045227,-1.39595861000004,"[-0.55309802 -0.55038047 -0.55017984 -0.54988223 -0.54957885]","[-0.55388236 -0.55201392 -0.5511835  -0.55172377 -0.55256059]",-0.553098022937775,-0.553882359999989,"[-0.74934393 -0.6908837  -0.68925279 -0.68912452 -0.68888575]","[-0.62821401 -0.5609251  -0.56569287 -0.56473455 -0.55818774]",-0.749343931674957,-0.628214010000022,"[-0.38547    -0.38392624 -0.38385767 -0.38218698 -0.38198039]","[-0.38101947 -0.38060524 -0.38282047 -0.38457608 -0.38097691]",-0.385470002889633,-0.384576080000045,0.226768630000038,"[0.2770986  0.28065616 0.28073007 0.28077775 0.28144461]","[0.22718477 0.22676863 0.22863945 0.22688623 0.22779299]",0.277098596096039,3,"19347_1,1,0_0.25_True",1.08103847608736,0.898479920382652
"oqmd-1341053","(0, 0, 1)",0,"Au-0.5-Pd-0.5","True","[0.05716479 0.07416487 0.10469514 0.11179292 0.11914039]","[-0.06841335 -0.06651839 -0.06138528 -0.0594943  -0.05611504]",0.0571647882461547,-0.0684133499999859,"[-1.41609609 -1.41415286 -1.41413236 -1.4141053  -1.41382313]","[-1.42033395 -1.41602093 -1.42138448 -1.42044904 -1.42098848]",-1.41609609127045,-1.42138448,"[-0.64339805 -0.64314801 -0.64051616 -0.64051402 -0.63984621]","[-0.74377824 -0.74344056 -0.74716534 -0.74754087 -0.74352903]",-0.64339804649353,-0.747540869999995,"[-0.64711285 -0.64498883 -0.64361405 -0.64200538 -0.64121467]","[-0.73175156 -0.72525177 -0.73224822 -0.72709017 -0.73163753]",-0.647112846374512,-0.732248220000002,"[-0.30932459 -0.30925527 -0.30795792 -0.30776957 -0.3075358 ]","[-0.38026625 -0.37868538 -0.38016166 -0.38442127 -0.38054123]",-0.309324592351913,-0.384421270000018,0.96684307000001,"[0.99075335 0.99092096 0.99114734 0.99149567 0.9924981 ]","[0.97932483 0.97068883 0.96684307 0.96916104 0.96767766]",0.990753352642059,2,"14914_0,0,1_0.0_True",0.813424866122944,0.514308384458873
"dcgat-agm003642634","(1, 1, 0)",0.25,"Ag-0.1-Cu-0.4-Pd-0.5","True","[-0.70630503 -0.70207965 -0.70202249 -0.69893962 -0.69663119]","[-0.620792   -0.61902108 -0.62062617 -0.62069541 -0.61916023]",-0.706305027008057,-0.620791999999995,"[-1.42514098 -1.42477775 -1.4238137  -1.42359853 -1.4228121 ]","[-1.43582337 -1.43819473 -1.38198126 -1.43703966 -1.43799751]",-1.42514097690582,-1.43819473000002,"[-0.60040283 -0.59902883 -0.59851807 -0.59802085 -0.59748799]","[-0.57281149 -0.58317835 -0.58325959 -0.57269474 -0.57348196]",-0.60040283203125,-0.583259589999955,"[-0.80960995 -0.807769   -0.80554414 -0.80223149 -0.80222189]","[-0.6741462  -0.67192393 -0.67695635 -0.6759223  -0.72217069]",-0.809609949588776,-0.722170689999985,"[-0.41209754 -0.41185892 -0.41162497 -0.41160029 -0.41116911]","[-0.38421601 -0.38400749 -0.38376898 -0.3838817  -0.38379766]",-0.412097543478012,-0.384216009999989,0.633922180000013,"[0.53915042 0.54138654 0.54248446 0.54290646 0.54547161]","[0.63582911 0.63437255 0.63557605 0.63392218 0.63459123]",0.539150416851044,3,"29038_1,1,0_0.25_True",1.10123629644695,1
"mp-1225751","(1, 1, 0)",0.25,"Cu-0.6-Pd-0.4","True","[-0.5594064  -0.5580104  -0.55516183 -0.55355489 -0.55026251]","[-0.48114136 -0.48499154 -0.48403759 -0.48408155 -0.48426847]",-0.559406399726868,-0.48499154000001,"[-1.34025908 -1.33794403 -1.33699346 -1.33688831 -1.33668089]","[-1.38393798 -1.38321279 -1.38343354 -1.38390031 -1.38340206]",-1.3402590751648,-1.38393798000004,"[-0.55145836 -0.55079091 -0.55027306 -0.54993707 -0.54861993]","[-0.55945337 -0.56168581 -0.56129725 -0.56010541 -0.55925916]",-0.551458358764648,-0.561685809999972,"[-0.74715883 -0.74508756 -0.74293911 -0.74177396 -0.73967826]","[-0.64966044 -0.63683179 -0.64933582 -0.63619129 -0.63972153]",-0.747158825397492,-0.649660439999991,"[-0.36823401 -0.36630061 -0.36627576 -0.3657915  -0.36549675]","[-0.38408597 -0.38296271 -0.38138062 -0.38396502 -0.38248599]",-0.368234008550644,-0.384085970000001,0.247158880000029,"[0.25650078 0.25881141 0.25917727 0.25938123 0.2595498 ]","[0.24719738 0.24839654 0.24781947 0.2473177  0.24715888]",0.256500780582428,2,"3595_1,1,0_0.25_True",1.16207813925526,0.999728591516601
"dcgat-agm003596722","(1, 1, 0)",0.0844915066527456,"Au-0.444-In-0.111-Pd-0.444","True","[-1.06913209 -1.06412601 -1.06346822 -1.06321692 -1.0631634 ]","[-1.1366308  -1.13923076 -1.1406822  -1.13877144 -1.14004905]",-1.06913208961487,-1.14068219999996,"[-1.65751624 -1.65587187 -1.65440881 -1.65440834 -1.65390444]","[-1.67179351 -1.67132117 -1.67140461 -1.67139203 -1.67107367]",-1.65751624107361,-1.67179350999999,"[-0.87103862 -0.86837733 -0.86619288 -0.86290872 -0.73862314]","[-0.85121379 -0.84764001 -0.85068528 -0.8462894  -0.68906282]",-0.871038615703583,-0.851213790000031,"[-1.28405428 -1.28164482 -1.28093469 -1.27982426 -1.27934957]","[-1.30205572 -1.3112339  -1.28932282 -1.30827129 -1.30179296]",-1.28405427932739,-1.31123389999999,"[-0.39111599 -0.38798973 -0.38794017 -0.38780436 -0.38780183]","[-0.37924982 -0.38198931 -0.38103765 -0.38395568 -0.38079006]",-0.391115993261337,-0.383955679999986,0.588623530000007,"[0.5684846  0.56992251 0.57073861 0.57159728 0.5716607 ]","[0.60220963 0.58940972 0.59805302 0.598388   0.58862353]",0.568484604358673,3,"29904_1,1,0_0.084_True",0.972928987438038,0.212882910614526
