slab_comp,chemicalComposition,surfaceComposition,Equation,sites,id,pubId,dftCode,dftFunctional,reactants,products,facet,activationEnergy,reactionEnergy
Pt-0.5-Ta-0.5,Pt6Ta6,PtTa,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|HCP""}",UmVhY3Rpb246MzUzNzQ3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.640233657358266
Pt-0.5-Tc-0.5,Pt6Tc6,PtTc,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|HCP""}",UmVhY3Rpb246MzU2Mzky,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.317942435055528
Pt-0.5-Ti-0.5,Pt6Ti6,PtTi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|HCP""}",UmVhY3Rpb246MzUyMjEx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.4675625965601
Pt-0.5-Tl-0.5,Pt6Tl6,PtTl,0.5H2(g) + * -> H*,"{""H"": ""top|A""}",UmVhY3Rpb246MzU2OTgw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.129492309059941
Pt-0.5-V-0.5,Pt6V6,PtV,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|HCP""}",UmVhY3Rpb246MzU5NjMw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.527950779857719
Pt-0.5-W-0.5,Pt6W6,PtW,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDEwMDg2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.59673843716061
Pt-0.5-Y-0.5,Pt6Y6,PtY,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA1NTQx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.401255120758805
Pt-0.5-Zn-0.5,Pt6Zn6,PtZn,0.5H2(g) + * -> H*,"{""H"": ""top-tilt|A""}",UmVhY3Rpb246MzU0ODMx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.184417262854339
Pt-0.5-Zr-0.5,Pt6Zr6,PtZr,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU5Nzgy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.621889647157303
Pt-0.8-Re-0.2,Pt9Re3,Pt3Re,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246NDAwODE4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.361534663853462
