slab_comp,chemicalComposition,surfaceComposition,Equation,sites,id,pubId,dftCode,dftFunctional,reactants,products,facet,activationEnergy,reactionEnergy
Ag-1.0,Ag12,Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzM5MDI0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.338155323043821
Ag-0.2-Al-0.8,Ag3Al9,Al3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDAzNDgy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.33624168244117
Ag-0.2-Au-0.8,Ag3Au9,Au3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQyNTE5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.321487125945197
Ag-0.2-Bi-0.8,Ag3Bi9,Bi3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow-tilt|A_A_B|FCC""}",UmVhY3Rpb246MzM5OTM5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.561942696339457
Ag-0.2-Cd-0.8,Ag3Cd9,Cd3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_B|A""}",UmVhY3Rpb246NDAzMDAw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.776154927943054
Ag-0.2-Co-0.8,Ag3Co9,Co3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ0Mjg5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.365845083054381
Ag-0.2-Cr-0.8,Ag3Cr9,Cr3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ4NTg2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.864638048856222
Ag-0.2-Cu-0.8,Ag3Cu9,Cu3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ3NDQ3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.0537509186605973
Ag-0.2-Fe-0.8,Ag3Fe9,Fe3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDI4MTIz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.875046403046355
Ag-0.2-Ga-0.8,Ag3Ga9,Ga3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDAzNzc3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.673650325138652
Ag-0.2-Hf-0.8,Ag3Hf9,Hf3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ4Mjc5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.06575167255775
Ag-0.2-Hg-0.8,Ag3Hg9,Hg3Ag,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246NDAzMTA5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.916906219140429
Ag-0.2-In-0.8,Ag3In9,In3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzQ1Njcx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.696442716443045
Ag-0.2-Ir-0.8,Ag3Ir9,Ir3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ4NTQy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.345902403953886
Ag-0.2-La-0.8,Ag3La9,La3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQzMjY0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.733973337260039
Ag-0.2-Mo-0.8,Ag3Mo9,Mo3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQwNTgz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.959736393057909
Ag-0.2-Nb-0.8,Ag3Nb9,Nb3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ2MDg1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.03929091466031
Ag-0.2-Ni-0.8,Ag3Ni9,Ni3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDIxOTg4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.370298634158615
Ag-0.2-Os-0.8,Ag3Os9,Os3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ3MDM3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.38174877635808
Ag-0.2-Pb-0.8,Ag3Pb9,Pb3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_B|A""}",UmVhY3Rpb246NDA0NTAy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.653393490742957
Ag-0.2-Pd-0.8,Ag3Pd9,Pd3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ5MDM3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.291064934760442
Ag-0.2-Pt-0.8,Ag3Pt9,Pt3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQzNTc4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.302525825455604
Ag-0.2-Re-0.8,Ag3Re9,Re3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQyOTMx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.669081397761119
Ag-0.2-Rh-0.8,Ag3Rh9,Rh3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ0MTI4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.450878344657184
Ag-0.2-Ru-0.8,Ag3Ru9,Ru3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ4NzI3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.43057865235366
Ag-0.2-Sc-0.8,Ag3Sc9,Sc3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQyNjAz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.16991848275845
Ag-0.2-Sn-0.8,Ag3Sn9,Sn3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_B|A""}",UmVhY3Rpb246NDA0ODE2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.696058219539765
Ag-0.2-Ta-0.8,Ag3Ta9,Ta3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQyNDEw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.03739632215635
Ag-0.2-Tc-0.8,Ag3Tc9,Tc3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ1Mjkx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.661377582858194
Ag-0.2-Ti-0.8,Ag3Ti9,Ti3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDA2OTcw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.11419337805907
Ag-0.2-Tl-0.8,Ag3Tl9,Tl3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow-tilt|A_A_B|FCC""}",UmVhY3Rpb246MzQ3MTM5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.642876971241122
Ag-0.2-V-0.8,Ag3V9,V3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246NDA4NDU1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.02312653635724
Ag-0.2-W-0.8,Ag3W9,W3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ1NTU1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.04889530875786
Ag-0.2-Y-0.8,Ag3Y9,Y3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246NDA1NTU2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.08344410615879
Ag-0.2-Zn-0.8,Ag3Zn9,Zn3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246MzUzODE0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.528792428035587
Ag-0.2-Zr-0.8,Ag3Zr9,Zr3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ2NDUw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.03872287705869
Ag-0.5-Al-0.5,Ag6Al6,AgAl,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzUwODY4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.356509945741919
Ag-0.5-Au-0.5,Ag6Au6,AgAu,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246Mzk4ODg1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.319611853440648
Ag-0.5-Bi-0.5,Ag6Bi6,AgBi,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246NDI2MDU5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.552927837045928
Ag-0.5-Cd-0.5,Ag6Cd6,AgCd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzUxNTA4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.517986107145617
Ag-0.5-Co-0.5,Ag6Co6,AgCo,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUzMDU5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.236969792159442
Ag-0.5-Cu-0.5,Ag6Cu6,AgCu,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|FCC""}",UmVhY3Rpb246MzUwNjUx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.0519798657487911
Ag-0.5-Fe-0.5,Ag6Fe6,AgFe,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|HCP""}",UmVhY3Rpb246MzU5NTc3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.307076657357328
Ag-0.5-Ga-0.5,Ag6Ga6,AgGa,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzgzNDQy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.576045268245281
Ag-0.5-Hf-0.5,Ag6Hf6,AgHf,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU0ODg3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.788540189262648
Ag-0.5-Hg-0.5,Ag6Hg6,AgHg,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|FCC""}",UmVhY3Rpb246MzUxNTk2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.875933902440949
Ag-0.5-In-0.5,Ag6In6,AgIn,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246Mzk5Mzc5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.658771548639408
Ag-0.5-Ir-0.5,Ag6Ir6,AgIr,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU5NTM1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.315647971160587
Ag-0.5-La-0.5,Ag6La6,AgLa,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDA1NzYx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.557652413556724
Ag-0.5-Mn-0.5,Ag6Mn6,AgMn,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU5ODgz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,2.43697779614107
Ag-0.5-Mo-0.5,Ag6Mo6,AgMo,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU0MTgy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.616801254363026
Ag-0.5-Nb-0.5,Ag6Nb6,AgNb,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUxNDQ4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.65941591425414
Ag-0.5-Ni-0.5,Ag6Ni6,AgNi,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDIyMDEw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.291363443763629
Ag-0.5-Os-0.5,Ag6Os6,AgOs,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|A""}",UmVhY3Rpb246NDEzMDYz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.218940753745329
Ag-0.5-Pb-0.5,Ag6Pb6,AgPb,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246Mzk2NTE3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.602678138043331
Ag-0.5-Pd-0.5,Ag6Pd6,AgPd,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|HCP""}",UmVhY3Rpb246MzUxODE1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.199235902261506
Ag-0.5-Pt-0.5,Ag6Pt6,AgPt,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUwMjM0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.340017534158477
Ag-0.5-Re-0.5,Ag6Re6,AgRe,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU2ODQ5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.613233025657763
Ag-0.5-Rh-0.5,Ag6Rh6,AgRh,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU2MzUx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.295158751460775
Ag-0.5-Ru-0.5,Ag6Ru6,AgRu,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|A""}",UmVhY3Rpb246NDE2NzY4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.222048701957618
Ag-0.5-Sc-0.5,Ag6Sc6,AgSc,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUzNzIx,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.776159281757799
Ag-0.5-Sn-0.5,Ag6Sn6,AgSn,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246Mzk2NTgz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.68157087874809
Ag-0.5-Ta-0.5,Ag6Ta6,AgTa,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUyMjg2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.750986302656173
Ag-0.5-Tc-0.5,Ag6Tc6,AgTc,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU3NTU2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.484114873156585
Ag-0.5-Ti-0.5,Ag6Ti6,AgTi,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzU4OTc2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.690483015153376
Ag-0.5-Tl-0.5,Ag6Tl6,AgTl,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246MzU2Mjgy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.599313314342936
Ag-0.5-V-0.5,Ag6V6,AgV,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_B_B|FCC""}",UmVhY3Rpb246MzUyMjI1,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.63029116195591
Ag-0.5-W-0.5,Ag6W6,AgW,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUxODM4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.722673946263029
Ag-0.5-Y-0.5,Ag6Y6,AgY,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246MzUwNDE5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.802010776659671
Ag-0.5-Zn-0.5,Ag6Zn6,AgZn,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzU2MzIy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,0.43932956123993
Ag-0.5-Zr-0.5,Ag6Zr6,AgZr,0.5H2(g) + * -> H*,"{""H"": ""bridge|B_B|A""}",UmVhY3Rpb246NDA2NDMz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",101,,-0.723656957458815
Ag-0.8-Al-0.2,Ag9Al3,Ag3Al,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQwNjU4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.247755024146528
Ag-0.8-Au-0.2,Ag9Au3,Ag3Au,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzQ2NzY0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.340619586045278
Ag-0.8-Bi-0.2,Ag9Bi3,Ag3Bi,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQwMDEw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.43802531964414
Ag-0.8-Co-0.2,Ag9Co3,Ag3Co,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQ0MDU2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.0883542749570268
Ag-0.8-Cr-0.2,Ag9Cr3,Ag3Cr,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246MzQ0MjI4,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.305989426457899
Ag-0.8-Cu-0.2,Ag9Cu3,Ag3Cu,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|FCC""}",UmVhY3Rpb246MzQ4MTkw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.17736107893964
Ag-0.8-Fe-0.2,Ag9Fe3,Ag3Fe,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246NDAxOTk3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.0167537769584385
Ag-0.8-Ga-0.2,Ag9Ga3,Ag3Ga,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQyODk0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.367787839845761
Ag-0.8-Hf-0.2,Ag9Hf3,Ag3Hf,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_B|HCP""}",UmVhY3Rpb246NDAxNzc2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.297241238759824
Ag-0.8-Hg-0.2,Ag9Hg3,Ag3Hg,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_B|A""}",UmVhY3Rpb246Mzk5MTA3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.801479882641644
Ag-0.8-Ir-0.2,Ag9Ir3,Ag3Ir,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246MzU0NDU0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.548683541360305
